city_name,main.aqi,components.co,components.no,components.no2,components.o3,components.so2,components.pm2_5,components.pm10,components.nh3
Alaminos,1.4516129032258065,372.42806451612904,0.15629032258064515,4.6658467741935485,33.91883064516129,1.5101209677419354,10.161572580645162,11.291895161290322,3.5405645161290322
Angeles City,2.016194331983806,542.6257085020243,0.4821052631578947,9.13421052631579,25.888785425101215,3.2648582995951414,20.94753036437247,23.348542510121458,9.692712550607286
Antipolo,2.2379032258064515,618.5141532258065,0.7341935483870968,9.959798387096775,28.292540322580646,2.2277822580645164,22.162580645161288,24.427137096774196,6.405806451612904
Bacolod,1.105263157894737,282.06995951417,0.021174089068825914,1.4580161943319838,24.959068825910933,0.7291497975708502,4.177894736842106,4.617368421052632,1.3604048582995951
Bacoor,2.3562753036437245,647.2281376518218,0.8056275303643725,16.1217004048583,54.243117408906876,8.57668016194332,30.573603238866397,43.44947368421053,3.295748987854251
Bago City,1.1814516129032258,318.6989516129032,0.07229838709677419,2.8745967741935483,30.85100806451613,1.0554032258064516,4.578346774193549,5.805564516129032,1.9657661290322581
Baguio,1.5846774193548387,390.20762096774195,0.11048387096774193,4.524556451612903,31.787822580645162,1.8139516129032258,11.517016129032257,12.835201612903226,2.1902016129032256
Bais,1.1370967741935485,297.1510483870968,0.06963709677419355,2.222298387096774,16.03891129032258,0.451008064516129,4.745403225806451,5.621209677419355,3.717217741935484
Balanga,1.6814516129032258,464.5149193548387,0.49004032258064517,8.003629032258065,28.222137096774194,2.4331451612903225,15.952177419354838,18.2025,3.4918951612903224
Batac City,1.2379032258064515,277.6826612903226,0.022338709677419355,1.0069758064516128,46.41129032258065,0.34262096774193546,4.995040322580645,5.45733870967742,0.4350403225806452
Batangas City,1.439516129032258,364.8503225806452,0.5968951612903226,11.959354838709677,29.460040322580646,7.0583064516129035,8.523225806451613,9.909516129032259,4.03366935483871
Bayawan,1.1370967741935485,289.6947580645161,0.0325,2.3286290322580645,20.40391129032258,0.4620161290322581,3.9704435483870966,4.397620967741935,2.966693548387097
Baybay,1.314516129032258,272.01608870967743,0.021774193548387097,0.8828629032258064,32.641693548387096,11.807782258064515,7.479475806451613,7.827016129032257,0.2442741935483871
Bayugan,1.0201612903225807,281.34346774193546,0.07943548387096774,2.5720564516129034,15.649879032258065,0.656491935483871,4.073911290322581,4.674395161290323,1.2661290322580645
Bislig,1.6975806451612903,515.1079032258065,0.18737903225806452,11.06165322580645,33.006048387096776,2.4357661290322583,12.252137096774195,13.688306451612902,3.80125
Biñan,2.2701612903225805,891.559435483871,6.320645161290322,18.909112903225807,31.175725806451613,12.738548387096774,30.763467741935486,36.360040322580645,5.744153225806452
Bogo,1.1129032258064515,293.8939919354839,0.03717741935483871,3.2064112903225808,33.351048387096775,1.5339112903225807,4.712096774193548,5.2407661290322585,1.3733870967741937
Borongan,1.0161943319838056,262.75886639676116,0.028785425101214575,2.0291093117408905,20.652712550607287,0.6595951417004048,3.0750202429149796,3.4301619433198383,0.4446963562753037
Butuan,1.0040322580645162,285.0379838709677,0.02625,1.9758064516129032,24.372782258064515,0.429758064516129,3.17991935483871,3.5417741935483873,0.9856451612903225
Cabadbaran,1.0,279.8133603238866,0.021862348178137654,1.45748987854251,28.63068825910931,0.34558704453441297,2.6634008097165993,2.9109716599190283,0.5898785425101214
Cabanatuan City,2.4475806451612905,706.186814516129,1.1668951612903224,10.916612903225808,27.762459677419354,2.259879032258065,26.463870967741936,28.83975806451613,3.6858467741935486
Cabuyao,2.2701612903225805,891.559435483871,6.320645161290322,18.909112903225807,31.175725806451613,12.738548387096774,30.763467741935486,36.360040322580645,5.744153225806452
Cadiz,1.0725806451612903,294.64774193548385,0.0377016129032258,1.9466935483870966,30.819193548387098,0.8927822580645162,3.19991935483871,3.8213306451612907,1.0340725806451612
Cagayan de Oro,1.3548387096774193,388.4982258064516,0.1134274193548387,5.3472983870967745,36.2325,2.007096774193548,7.514637096774194,8.836854838709677,3.9561693548387096
Calaca,1.435483870967742,345.50967741935483,0.2841532258064516,6.486532258064517,31.039596774193548,4.586935483870968,9.141290322580645,11.20866935483871,2.7828629032258063
Calamba,2.2701612903225805,891.559435483871,6.320645161290322,18.909112903225807,31.175725806451613,12.738548387096774,30.763467741935486,36.360040322580645,5.744153225806452
Calapan,1.2983870967741935,273.80649193548385,0.17620967741935484,4.6493548387096775,44.146733870967736,3.5918548387096774,4.294435483870967,5.112903225806452,0.2009677419354839
Calbayog City,1.1370967741935485,272.06310483870965,0.026048387096774192,1.289516129032258,21.961451612903225,4.875725806451613,5.165685483870967,5.6073387096774185,0.550483870967742
Caloocan City,2.6370967741935485,843.7524596774193,1.6079032258064516,21.530604838709678,41.83568548387097,9.219879032258065,36.32032258064516,49.22548387096774,9.63491935483871
Candon,1.3346774193548387,310.87971774193545,0.05221774193548387,1.7064112903225805,47.246411290322584,0.7893951612903226,7.419475806451612,7.936612903225806,0.8098387096774193
Canlaon,1.4112903225806452,403.720564516129,0.1609274193548387,6.198951612903225,19.972620967741936,1.1268145161290322,9.121653225806451,9.982217741935484,5.5724193548387095
Carcar,1.1330645161290323,292.9788709677419,0.04459677419354839,3.383225806451613,25.147983870967742,2.107540322580645,4.391733870967743,6.610564516129033,3.8752016129032256
Carmona,2.2701612903225805,891.559435483871,6.320645161290322,18.909112903225807,31.175725806451613,12.738548387096774,30.763467741935486,36.360040322580645,5.744153225806452
Catbalogan,1.0887096774193548,293.24810483870965,0.03229838709677419,1.989274193548387,32.485282258064515,1.0190725806451613,4.103387096774194,4.5277016129032255,1.0153629032258065
